,# Disease ID,Disease Name,Gene ID
48,C0033941,"Psychoses, Substance-Induced",ESR1
49,C0033941,"Psychoses, Substance-Induced",GRM2
50,C0033941,"Psychoses, Substance-Induced",GSTP1
51,C0033941,"Psychoses, Substance-Induced",HTR1A
52,C0033941,"Psychoses, Substance-Induced",HTR6
53,C0033941,"Psychoses, Substance-Induced",NPY1R
54,C0033941,"Psychoses, Substance-Induced",OPRM1
55,C0033941,"Psychoses, Substance-Induced",PHB1
56,C0033941,"Psychoses, Substance-Induced",SLC6A3
57,C0033941,"Psychoses, Substance-Induced",SNCA
58,C0033941,"Psychoses, Substance-Induced",SOD2
59,C0033941,"Psychoses, Substance-Induced",CAMK2B
60,C0033941,"Psychoses, Substance-Induced",RGS9
61,C0033941,"Psychoses, Substance-Induced",PICK1
62,C0043459,Zellweger Syndrome,HSD17B4
63,C0043459,Zellweger Syndrome,PEX1
64,C0043459,Zellweger Syndrome,PEX6
65,C0043459,Zellweger Syndrome,PEX10
66,C0043459,Zellweger Syndrome,PEX12
67,C0043459,Zellweger Syndrome,PEX13
68,C0043459,Zellweger Syndrome,PEX14
69,C0043459,Zellweger Syndrome,PEX26
70,C0043459,Zellweger Syndrome,PEX19
71,C0043459,Zellweger Syndrome,ABCD3
72,C0043459,Zellweger Syndrome,PEX2
73,C0043459,Zellweger Syndrome,PEX5
74,C0043459,Zellweger Syndrome,PEX3
75,C0043459,Zellweger Syndrome,PEX11B
76,C0043459,Zellweger Syndrome,PEX16
78,C0033860,Psoriasis,TNIP1
79,C0033860,Psoriasis,CARM1
81,C0033860,Psoriasis,TRAF3IP2
82,C0033860,Psoriasis,HCP5
83,C0033860,Psoriasis,TAGAP
85,C0033860,Psoriasis,CP
86,C0033860,Psoriasis,CRP
88,C0033860,Psoriasis,CSF2
89,C0033860,Psoriasis,IL23R
90,C0033860,Psoriasis,IFNLR1
91,C0033860,Psoriasis,RIGI
92,C0033860,Psoriasis,FUT2
93,C0033860,Psoriasis,GJB2
95,C0033860,Psoriasis,CYP2S1
96,C0033860,Psoriasis,HLA-C
97,C0033860,Psoriasis,HCAR2
98,C0033860,Psoriasis,APOE
99,C0033860,Psoriasis,LCE3B
100,C0033860,Psoriasis,LCE3C
101,C0033860,Psoriasis,IL1B
102,C0033860,Psoriasis,IL4
103,C0033860,Psoriasis,IL6
104,C0033860,Psoriasis,IL12B
105,C0033860,Psoriasis,IL13
108,C0033860,Psoriasis,MKI67
109,C0033860,Psoriasis,NFKBIA
110,C0033860,Psoriasis,NOS2
112,C0033860,Psoriasis,PCNA
113,C0033860,Psoriasis,IL23A
114,C0033860,Psoriasis,ERAP1
115,C0033860,Psoriasis,SERPINB8
116,C0033860,Psoriasis,FBXL19
117,C0033860,Psoriasis,PPARG
118,C0033860,Psoriasis,VNN3P
119,C0033860,Psoriasis,EXOC2
120,C0033860,Psoriasis,RNF114
121,C0033860,Psoriasis,ZMIZ1
122,C0033860,Psoriasis,REL
123,C0033860,Psoriasis,REN
124,C0033860,Psoriasis,REV3L
125,C0033860,Psoriasis,S100A7
128,C0033860,Psoriasis,IFIH1
130,C0033860,Psoriasis,CSMD1
132,C0033860,Psoriasis,SOD2
133,C0033860,Psoriasis,STAT2
134,C0033860,Psoriasis,STAT3
135,C0033860,Psoriasis,TGFA
136,C0033860,Psoriasis,TNF
137,C0033860,Psoriasis,TNFAIP3
138,C0033860,Psoriasis,TP53
139,C0033860,Psoriasis,TYK2
140,C0033860,Psoriasis,VEGFA
142,C0033860,Psoriasis,CARD14
143,C0033860,Psoriasis,QTRT1
144,C0033860,Psoriasis,CAST
145,C0033860,Psoriasis,LCE3D
146,C0033860,Psoriasis,CAT
147,C0033860,Psoriasis,ZC3H12C
148,C0033860,Psoriasis,RUNX3
149,C0033860,Psoriasis,SOCS1
150,C0033860,Psoriasis,VNN2
151,C0033860,Psoriasis,VNN1
152,C0033860,Psoriasis,KCNH7
153,C0033860,Psoriasis,PTTG1
154,C0033860,Psoriasis,PRORP
155,C0033860,Psoriasis,SPATA2
156,C0033860,Psoriasis,ELMO1
157,C0027726,Nephrotic Syndrome,COL1A1
158,C0027726,Nephrotic Syndrome,COL4A1
159,C0027726,Nephrotic Syndrome,COL4A2
160,C0027726,Nephrotic Syndrome,A2M
161,C0027726,Nephrotic Syndrome,ALB
162,C0027726,Nephrotic Syndrome,F3
163,C0027726,Nephrotic Syndrome,FGF2
164,C0027726,Nephrotic Syndrome,GPC5
165,C0027726,Nephrotic Syndrome,GUCA2B
166,C0027726,Nephrotic Syndrome,HLA-DRB1
167,C0027726,Nephrotic Syndrome,HSD11B2
168,C0027726,Nephrotic Syndrome,IL2
169,C0027726,Nephrotic Syndrome,SERPINC1
170,C0027726,Nephrotic Syndrome,NCK1
171,C0027726,Nephrotic Syndrome,SERPINE1
172,C0027726,Nephrotic Syndrome,SOD2
173,C0027726,Nephrotic Syndrome,TF
174,C0027726,Nephrotic Syndrome,TGFB1
175,C0027726,Nephrotic Syndrome,NPHS2
176,C0027726,Nephrotic Syndrome,NCK2
177,C0027726,Nephrotic Syndrome,CD2
178,C0338480,Common Migraine,PHACTR1
179,C0338480,Common Migraine,WAPL
180,C0338480,Common Migraine,ASTN2
182,C0338480,Common Migraine,LRP1
183,C0338480,Common Migraine,MEF2D
184,C0338480,Common Migraine,TAC1
185,C0338480,Common Migraine,TRPM8
186,C0338480,Common Migraine,CALCA
187,C0338480,Common Migraine,SUGCT
188,C0338480,Common Migraine,FHL5
189,C0338480,Common Migraine,RABGAP1L
190,C0026636,Mouth Diseases,CHAF1A
191,C0026636,Mouth Diseases,FANCG
192,C0026636,Mouth Diseases,GSS
193,C0026636,Mouth Diseases,DNAJA1
194,C0026636,Mouth Diseases,HSPA14
195,C0026636,Mouth Diseases,DDIT4
196,C0026636,Mouth Diseases,CYP26B1
197,C0026636,Mouth Diseases,PTGS2
198,C0026636,Mouth Diseases,S100A12
199,C0026636,Mouth Diseases,BRCA1
200,C0026636,Mouth Diseases,CHAF1B
201,C0026636,Mouth Diseases,GDF15
202,C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,NDUFA11
203,C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,NDUFAF6
204,C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,NDUFAF3
205,C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,NDUFAF4
206,C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,NDUFS7
207,C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,MT-ND1
208,C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,MT-ND2
209,C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,MT-ND3
210,C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,MT-ND4
211,C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,MT-ND5
212,C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,MT-ND6
213,C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,MT-TN
214,C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,NDUFA1
215,C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,NDUFB3
216,C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,NDUFB9
217,C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,NDUFS1
218,C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,NDUFS2
219,C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,NDUFS3
220,C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,NDUFV1
221,C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,NDUFS4
222,C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,NDUFS6
223,C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,NDUFS8
224,C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,NDUFV2
225,C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,NDUFAF1
226,C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,FOXRED1
227,C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,NDUFAF5
228,C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,NUBPL
229,C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,NDUFAF2
230,C0236969,Substance-Related Disorders,CDH13
231,C0236969,Substance-Related Disorders,FARP1
232,C0236969,Substance-Related Disorders,PATJ
233,C0236969,Substance-Related Disorders,ABCC4
234,C0236969,Substance-Related Disorders,ADARB2
235,C0236969,Substance-Related Disorders,CFTR
236,C0236969,Substance-Related Disorders,KLF12
237,C0236969,Substance-Related Disorders,CHRM2
238,C0236969,Substance-Related Disorders,CHRNA5
239,C0236969,Substance-Related Disorders,SLC2A13
241,C0236969,Substance-Related Disorders,CSMD3
242,C0236969,Substance-Related Disorders,ANO4
243,C0236969,Substance-Related Disorders,CNR1
245,C0236969,Substance-Related Disorders,MACROD2
246,C0236969,Substance-Related Disorders,MPP7
248,C0236969,Substance-Related Disorders,LDLRAD3
249,C0236969,Substance-Related Disorders,OR51E1
251,C0236969,Substance-Related Disorders,CYP2D6
252,C0236969,Substance-Related Disorders,DDX1
253,C0236969,Substance-Related Disorders,ZNF366
254,C0236969,Substance-Related Disorders,DNAH8
255,C0236969,Substance-Related Disorders,DOCK1
256,C0236969,Substance-Related Disorders,DRD2
257,C0236969,Substance-Related Disorders,DSCAM
258,C0236969,Substance-Related Disorders,EHHADH
259,C0236969,Substance-Related Disorders,ETV6
260,C0236969,Substance-Related Disorders,FAAH
261,C0236969,Substance-Related Disorders,FHIT
262,C0236969,Substance-Related Disorders,PLA2R1
263,C0236969,Substance-Related Disorders,LIMCH1
264,C0236969,Substance-Related Disorders,SAMD4A
265,C0236969,Substance-Related Disorders,XPO6
266,C0236969,Substance-Related Disorders,FKBP15
267,C0236969,Substance-Related Disorders,SYNE1
268,C0236969,Substance-Related Disorders,CERS6
270,C0236969,Substance-Related Disorders,HSPA12A
271,C0236969,Substance-Related Disorders,TIAM2
272,C0236969,Substance-Related Disorders,FAM184B
273,C0236969,Substance-Related Disorders,GRIA4
274,C0236969,Substance-Related Disorders,GRIK2
275,C0236969,Substance-Related Disorders,CTNNA3
276,C0236969,Substance-Related Disorders,CD274
277,C0236969,Substance-Related Disorders,GRM5
278,C0236969,Substance-Related Disorders,GRM7
279,C0236969,Substance-Related Disorders,NME7
281,C0236969,Substance-Related Disorders,INSR
282,C0236969,Substance-Related Disorders,AFF3
283,C0236969,Substance-Related Disorders,ABLIM1
285,C0236969,Substance-Related Disorders,MSRA
286,C0236969,Substance-Related Disorders,MYO6
287,C0236969,Substance-Related Disorders,ATP1B1
288,C0236969,Substance-Related Disorders,NPY
289,C0236969,Substance-Related Disorders,NRCAM
290,C0236969,Substance-Related Disorders,OPRD1
291,C0236969,Substance-Related Disorders,PBX1
292,C0236969,Substance-Related Disorders,POLR1D
293,C0236969,Substance-Related Disorders,SLC45A2
294,C0236969,Substance-Related Disorders,PDE1C
295,C0236969,Substance-Related Disorders,MPC1
296,C0236969,Substance-Related Disorders,PMAIP1
297,C0236969,Substance-Related Disorders,CHCHD3
298,C0236969,Substance-Related Disorders,APPL2
299,C0236969,Substance-Related Disorders,CCDC91
300,C0236969,Substance-Related Disorders,PACS1
301,C0236969,Substance-Related Disorders,FRMD4A
302,C0236969,Substance-Related Disorders,WDR11
303,C0236969,Substance-Related Disorders,PARVA
304,C0236969,Substance-Related Disorders,PRKCE
305,C0236969,Substance-Related Disorders,PRKCH
306,C0236969,Substance-Related Disorders,MYO5C
307,C0236969,Substance-Related Disorders,TENM2
308,C0236969,Substance-Related Disorders,QSOX1
309,C0236969,Substance-Related Disorders,GBA3
310,C0236969,Substance-Related Disorders,RAD51B
311,C0236969,Substance-Related Disorders,XYLT1
312,C0236969,Substance-Related Disorders,CSMD1
313,C0236969,Substance-Related Disorders,CDCP1
314,C0236969,Substance-Related Disorders,PCDH15
315,C0236969,Substance-Related Disorders,SLC6A4
316,C0236969,Substance-Related Disorders,SLC10A2
317,C0236969,Substance-Related Disorders,SLC22A3
318,C0236969,Substance-Related Disorders,EIPR1
321,C0236969,Substance-Related Disorders,TTC21B
322,C0236969,Substance-Related Disorders,THSD4
323,C0236969,Substance-Related Disorders,SEMA6D
325,C0236969,Substance-Related Disorders,ZNF606
326,C0236969,Substance-Related Disorders,FHOD3
327,C0236969,Substance-Related Disorders,CSRP3
328,C0236969,Substance-Related Disorders,COLEC12
329,C0236969,Substance-Related Disorders,LRMDA
330,C0236969,Substance-Related Disorders,BCAR3
332,C0236969,Substance-Related Disorders,HYCC1
333,C0236969,Substance-Related Disorders,AGBL4
334,C0236969,Substance-Related Disorders,MKNK1
335,C0236969,Substance-Related Disorders,PRPF4
336,C0236969,Substance-Related Disorders,ZNF804A
337,C0236969,Substance-Related Disorders,PIWIL1
338,C0236969,Substance-Related Disorders,CADPS2
339,C0236969,Substance-Related Disorders,NRXN3
340,C0236969,Substance-Related Disorders,AKAP7
341,C0236969,Substance-Related Disorders,CXCL14
342,C0236969,Substance-Related Disorders,CHD1L
343,C0236969,Substance-Related Disorders,SLK
344,C0002878,"Anemia, Hemolytic",EPO
345,C0002878,"Anemia, Hemolytic",G6PD
346,C0002878,"Anemia, Hemolytic",GCLC
347,C0002878,"Anemia, Hemolytic",GPI
348,C0002878,"Anemia, Hemolytic",GSR
349,C0002878,"Anemia, Hemolytic",HBB
350,C0002878,"Anemia, Hemolytic",HMOX1
351,C0002878,"Anemia, Hemolytic",IFNA2
352,C0002878,"Anemia, Hemolytic",ITPA
353,C0002878,"Anemia, Hemolytic",SLC4A1
354,C0002878,"Anemia, Hemolytic",SPTB
355,C0002878,"Anemia, Hemolytic",TPI1
357,C0003873,Rheumatoid Arthritis,ABCC5
358,C0003873,Rheumatoid Arthritis,RASGRP1
360,C0003873,Rheumatoid Arthritis,CDK6
361,C0003873,Rheumatoid Arthritis,ABCC4
362,C0003873,Rheumatoid Arthritis,STAG1
363,C0003873,Rheumatoid Arthritis,MAB21L2
364,C0003873,Rheumatoid Arthritis,TXNIP
365,C0003873,Rheumatoid Arthritis,TSBP1
366,C0003873,Rheumatoid Arthritis,CD226
367,C0003873,Rheumatoid Arthritis,B3GNT2
368,C0003873,Rheumatoid Arthritis,PHTF1
369,C0003873,Rheumatoid Arthritis,OS9
370,C0003873,Rheumatoid Arthritis,RPP14
371,C0003873,Rheumatoid Arthritis,FAM107A
372,C0003873,Rheumatoid Arthritis,TAGAP
373,C0003873,Rheumatoid Arthritis,PLD4
374,C0003873,Rheumatoid Arthritis,CCR6
375,C0003873,Rheumatoid Arthritis,ABCC2
376,C0003873,Rheumatoid Arthritis,FLACC1
377,C0003873,Rheumatoid Arthritis,ADORA2A
378,C0003873,Rheumatoid Arthritis,CP
379,C0003873,Rheumatoid Arthritis,CRP
380,C0003873,Rheumatoid Arthritis,HAPLN1
381,C0003873,Rheumatoid Arthritis,CSF2
382,C0003873,Rheumatoid Arthritis,CCN2
383,C0003873,Rheumatoid Arthritis,CTLA4
385,C0003873,Rheumatoid Arthritis,CTSD
386,C0003873,Rheumatoid Arthritis,PLB1
387,C0003873,Rheumatoid Arthritis,GRK2
388,C0003873,Rheumatoid Arthritis,CLEC12A
389,C0003873,Rheumatoid Arthritis,DDX6
390,C0003873,Rheumatoid Arthritis,GSDME
391,C0003873,Rheumatoid Arthritis,CLYBL
392,C0003873,Rheumatoid Arthritis,DHFR
393,C0003873,Rheumatoid Arthritis,ACAN
394,C0003873,Rheumatoid Arthritis,AGER
395,C0003873,Rheumatoid Arthritis,DNASE1L3
396,C0003873,Rheumatoid Arthritis,DPP4
397,C0003873,Rheumatoid Arthritis,RCAN1
398,C0003873,Rheumatoid Arthritis,AHR
399,C0003873,Rheumatoid Arthritis,SPRED2
400,C0003873,Rheumatoid Arthritis,ENO1
401,C0003873,Rheumatoid Arthritis,F2
402,C0003873,Rheumatoid Arthritis,RTKN2
403,C0003873,Rheumatoid Arthritis,FCGR2A
404,C0003873,Rheumatoid Arthritis,JAZF1
405,C0003873,Rheumatoid Arthritis,IKZF3
406,C0003873,Rheumatoid Arthritis,FKBP5
407,C0003873,Rheumatoid Arthritis,PLCL2
408,C0003873,Rheumatoid Arthritis,TNPO3
409,C0003873,Rheumatoid Arthritis,FPGS
410,C0003873,Rheumatoid Arthritis,PADI4
411,C0003873,Rheumatoid Arthritis,LY96
413,C0003873,Rheumatoid Arthritis,ALOX5
414,C0003873,Rheumatoid Arthritis,PHF19
415,C0003873,Rheumatoid Arthritis,GART
416,C0003873,Rheumatoid Arthritis,PTPN22
417,C0003873,Rheumatoid Arthritis,GATA3
418,C0003873,Rheumatoid Arthritis,GC
419,C0003873,Rheumatoid Arthritis,RGMB
420,C0003873,Rheumatoid Arthritis,GRK6
421,C0003873,Rheumatoid Arthritis,CXCL2
422,C0003873,Rheumatoid Arthritis,GUCY1B2
423,C0003873,Rheumatoid Arthritis,HCLS1
424,C0003873,Rheumatoid Arthritis,ANXA3
425,C0003873,Rheumatoid Arthritis,HLA-DPB1
426,C0003873,Rheumatoid Arthritis,HLA-DQA2
427,C0003873,Rheumatoid Arthritis,HLA-DRB1
428,C0003873,Rheumatoid Arthritis,HOXD10
429,C0003873,Rheumatoid Arthritis,HOXD11
430,C0003873,Rheumatoid Arthritis,HOXD13
431,C0003873,Rheumatoid Arthritis,AIRE
432,C0003873,Rheumatoid Arthritis,HSD11B1
433,C0003873,Rheumatoid Arthritis,IRF8
435,C0003873,Rheumatoid Arthritis,IFNG
436,C0003873,Rheumatoid Arthritis,IGFBP3
437,C0003873,Rheumatoid Arthritis,CCN1
438,C0003873,Rheumatoid Arthritis,RBPJ
439,C0003873,Rheumatoid Arthritis,IL1B
440,C0003873,Rheumatoid Arthritis,IL1RN
441,C0003873,Rheumatoid Arthritis,IL2RA
442,C0003873,Rheumatoid Arthritis,FASLG
443,C0003873,Rheumatoid Arthritis,IL2RB
444,C0003873,Rheumatoid Arthritis,IL6
445,C0003873,Rheumatoid Arthritis,IL6R
446,C0003873,Rheumatoid Arthritis,IL6ST
447,C0003873,Rheumatoid Arthritis,CXCL8
448,C0003873,Rheumatoid Arthritis,IL10
449,C0003873,Rheumatoid Arthritis,IL18
450,C0003873,Rheumatoid Arthritis,IRAK1
451,C0003873,Rheumatoid Arthritis,ITGA6
452,C0003873,Rheumatoid Arthritis,IRF5
453,C0003873,Rheumatoid Arthritis,KIF5A
454,C0003873,Rheumatoid Arthritis,AFF3
455,C0003873,Rheumatoid Arthritis,LCN2
456,C0003873,Rheumatoid Arthritis,MARCKS
457,C0003873,Rheumatoid Arthritis,STS
458,C0003873,Rheumatoid Arthritis,MECP2
459,C0003873,Rheumatoid Arthritis,RAB8A
460,C0003873,Rheumatoid Arthritis,CIITA
461,C0003873,Rheumatoid Arthritis,MIF
462,C0003873,Rheumatoid Arthritis,MMP2
463,C0003873,Rheumatoid Arthritis,MMP10
464,C0003873,Rheumatoid Arthritis,MMP12
465,C0003873,Rheumatoid Arthritis,MPO
466,C0003873,Rheumatoid Arthritis,MTF1
467,C0003873,Rheumatoid Arthritis,MTHFR
468,C0003873,Rheumatoid Arthritis,NCF2
469,C0003873,Rheumatoid Arthritis,ATIC
470,C0003873,Rheumatoid Arthritis,NFKBIE
471,C0003873,Rheumatoid Arthritis,NFKBIL1
472,C0003873,Rheumatoid Arthritis,TNFRSF11B
473,C0003873,Rheumatoid Arthritis,FOXP3
474,C0003873,Rheumatoid Arthritis,PDE2A
475,C0003873,Rheumatoid Arthritis,IL23A
476,C0003873,Rheumatoid Arthritis,CD244
477,C0003873,Rheumatoid Arthritis,ABCB1
478,C0003873,Rheumatoid Arthritis,UBASH3A
479,C0003873,Rheumatoid Arthritis,PLEK
480,C0003873,Rheumatoid Arthritis,PON1
481,C0003873,Rheumatoid Arthritis,POU3F1
482,C0003873,Rheumatoid Arthritis,DDIT4
484,C0003873,Rheumatoid Arthritis,PXK
486,C0003873,Rheumatoid Arthritis,CDK5RAP2
487,C0003873,Rheumatoid Arthritis,PRKCH
488,C0003873,Rheumatoid Arthritis,PRKCQ
489,C0003873,Rheumatoid Arthritis,APOM
490,C0003873,Rheumatoid Arthritis,BAIAP2L1
491,C0003873,Rheumatoid Arthritis,BTNL2
492,C0003873,Rheumatoid Arthritis,PSG5
494,C0003873,Rheumatoid Arthritis,ACKR3
495,C0003873,Rheumatoid Arthritis,PTGS2
496,C0003873,Rheumatoid Arthritis,PTK2
497,C0003873,Rheumatoid Arthritis,WDFY4
498,C0003873,Rheumatoid Arthritis,PTPN2
499,C0003873,Rheumatoid Arthritis,ANO8
500,C0003873,Rheumatoid Arthritis,PTPRC
501,C0003873,Rheumatoid Arthritis,RAD51B
502,C0003873,Rheumatoid Arthritis,RAP2A
503,C0003873,Rheumatoid Arthritis,REL
504,C0003873,Rheumatoid Arthritis,BCL2A1
505,C0003873,Rheumatoid Arthritis,BDKRB2
506,C0003873,Rheumatoid Arthritis,BGN
507,C0003873,Rheumatoid Arthritis,CCL8
508,C0003873,Rheumatoid Arthritis,CCL21
509,C0003873,Rheumatoid Arthritis,CXCL6
510,C0003873,Rheumatoid Arthritis,PRDM1
511,C0003873,Rheumatoid Arthritis,BLK
512,C0003873,Rheumatoid Arthritis,SFTPD
513,C0003873,Rheumatoid Arthritis,BMP4
514,C0003873,Rheumatoid Arthritis,CASTOR1
515,C0003873,Rheumatoid Arthritis,NCF1
516,C0003873,Rheumatoid Arthritis,BMP6
517,C0003873,Rheumatoid Arthritis,SLC11A1
518,C0003873,Rheumatoid Arthritis,SLC22A4
519,C0003873,Rheumatoid Arthritis,SMS
520,C0003873,Rheumatoid Arthritis,SOD2
521,C0003873,Rheumatoid Arthritis,STAT1
522,C0003873,Rheumatoid Arthritis,STAT4
523,C0003873,Rheumatoid Arthritis,SUOX
524,C0003873,Rheumatoid Arthritis,TLE3
525,C0003873,Rheumatoid Arthritis,TLR2
526,C0003873,Rheumatoid Arthritis,TMPO
527,C0003873,Rheumatoid Arthritis,TNF
528,C0003873,Rheumatoid Arthritis,TNFAIP2
529,C0003873,Rheumatoid Arthritis,TNFAIP3
530,C0003873,Rheumatoid Arthritis,TRAF1
531,C0003873,Rheumatoid Arthritis,TRAF6
532,C0003873,Rheumatoid Arthritis,TYK2
533,C0003873,Rheumatoid Arthritis,VEGFA
534,C0003873,Rheumatoid Arthritis,CXCR4
536,C0003873,Rheumatoid Arthritis,BAG6
537,C0003873,Rheumatoid Arthritis,MMEL1
538,C0003873,Rheumatoid Arthritis,ANKRD55
539,C0003873,Rheumatoid Arthritis,TFPI2
540,C0003873,Rheumatoid Arthritis,CALD1
541,C0003873,Rheumatoid Arthritis,NR4A3
542,C0003873,Rheumatoid Arthritis,TXNDC5
543,C0003873,Rheumatoid Arthritis,ST6GALNAC5
544,C0003873,Rheumatoid Arthritis,GDF5
545,C0003873,Rheumatoid Arthritis,EOMES
546,C0003873,Rheumatoid Arthritis,ARID5B
547,C0003873,Rheumatoid Arthritis,BLTP1
548,C0003873,Rheumatoid Arthritis,CAT
549,C0003873,Rheumatoid Arthritis,MGARP
551,C0003873,Rheumatoid Arthritis,PPIL4
552,C0003873,Rheumatoid Arthritis,CAV2
553,C0003873,Rheumatoid Arthritis,RUNX2
554,C0003873,Rheumatoid Arthritis,SLC25A12
555,C0003873,Rheumatoid Arthritis,RUNX1
556,C0003873,Rheumatoid Arthritis,ABCC3
557,C0003873,Rheumatoid Arthritis,TNFSF14
558,C0003873,Rheumatoid Arthritis,TNFRSF14
559,C0003873,Rheumatoid Arthritis,GGH
560,C0003873,Rheumatoid Arthritis,MACIR
561,C0003873,Rheumatoid Arthritis,GPRC5A
562,C0003873,Rheumatoid Arthritis,RABEP1
563,C0003873,Rheumatoid Arthritis,CD2
564,C0003873,Rheumatoid Arthritis,SYNGR1
565,C0003873,Rheumatoid Arthritis,CD3E
566,C0003873,Rheumatoid Arthritis,CD5
567,C0003873,Rheumatoid Arthritis,CD83
568,C0003873,Rheumatoid Arthritis,LHX2
569,C0003873,Rheumatoid Arthritis,ADIPOQ
570,C0003873,Rheumatoid Arthritis,CD28
571,C0003873,Rheumatoid Arthritis,FADS2
572,C0003873,Rheumatoid Arthritis,ABCG2
573,C0003873,Rheumatoid Arthritis,ATG5
574,C0003873,Rheumatoid Arthritis,CD40
575,C0003872,"Arthritis, Psoriatic",TRAF3IP2
576,C0003872,"Arthritis, Psoriatic",HLA-C
577,C0003872,"Arthritis, Psoriatic",CXCL8
578,C0003872,"Arthritis, Psoriatic",IL12B
580,C0003872,"Arthritis, Psoriatic",LTA
581,C0003872,"Arthritis, Psoriatic",MEFV
582,C0003872,"Arthritis, Psoriatic",NOS2
583,C0003872,"Arthritis, Psoriatic",NR4A2
584,C0003872,"Arthritis, Psoriatic",FBXL19
585,C0003872,"Arthritis, Psoriatic",REL
586,C0003872,"Arthritis, Psoriatic",NOD2
588,C0003872,"Arthritis, Psoriatic",BMP4
589,C0003872,"Arthritis, Psoriatic",TNF
590,C0003872,"Arthritis, Psoriatic",RUNX2
591,C0003872,"Arthritis, Psoriatic",CD68
592,C0002871,Anemia,ATG7
593,C0002871,Anemia,SLC46A1
